Attractions ,City ,Description ,Age group ,Energy Level 
Paint Ball ,Hamilton ,Adventure PaintBall ,13+,7 out of 10 
Snow Boarding ,Queenstown ,"Snow, Boarding ",8+,8 out of 10 
Rotorua luge ,Rotorua,Luge riding ,5+,4 out of 10 
Cable WakeBoarding ,Taupo ,Tow wakeboarding ,12+,8 out of 10 
Sky Diving ,Tauranga ,Parashooting ,18+,3 out of 10 
Diving with sharks ,Bluff,Adventure Diving  ,18+,4 out of 10 
Waitomo Caves ,Waitomo ,Glowworm adventure ,8+,6 out of 10 
Scenic Flights ,Christchurch ,Plane flights ,Any age ,2 out of 10 
Fishing ,whitianga ,Boat Fishing ,13+,7 out of 10 
,,,,
